Region,Country,Region Code,Property Type,Abbreviation,Code,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Europe,Belgium,BE,Healthcare,HEC,BE.HEC.CO2,kgCO2/sqm,68.3915482744776,64.5297378556441,59.8364904603706,55.2577482279456,50.8174018934033,46.7073699852285,42.4117711929024,38.4633580808174,34.6908820871518,31.0966511947253,27.5589605821266,24.5550532548163,21.5884867212103,18.7792798461986,16.122759581053,13.6228067791415,11.2425424861561,9.0258425950643,7.12515709924811,5.59169483657408,4.35374404694036,3.67003544502206,3.15274472448024,2.69598431433412,2.29640617637511,1.91964759949887,1.64890697314995,1.38690462075164,1.15367652022814,0.937723751112394,0.729927803171542
Europe,Belgium,BE,Leisure/Lodging,LEI,BE.LEI.CO2,kgCO2/sqm,68.305098950927,64.4435618657113,59.7506466520187,55.1722284966569,50.732196443707,46.6224554379248,42.3271606821596,38.3790270333117,34.6068180502964,31.0128415525777,27.4754013328437,24.471706617953,21.5053500538367,18.6963420106151,16.0400097703117,13.5402339116133,11.1601380904533,8.94359509432396,7.04304412640701,5.509690400078,4.27182723089461,3.58816702092864,3.07091291351092,2.61418483223697,2.21463497586772,1.83790306544418,1.56718160174357,1.30519779351058,1.07198620055053,0.856048716274076,0.648267475843965
Europe,Bulgaria,BG,Residential Single-Family,RSF,BG.RSF.CO2,kgCO2/sqm,27.48161599622,25.807521876364,23.8210105627679,21.9001506568879,20.0531695491315,18.3538914277704,16.5988925177967,14.9952872634888,13.4745390260831,12.0360964423112,10.6319142487442,9.44344363196579,8.27902892705456,7.18360938234596,6.15442356340089,5.19201929992711,4.28171145470974,3.43921297521696,2.72042109092892,2.14293286791633,1.67872272487234,1.42176403576781,1.22764811220052,1.05701675242699,0.908397762597465,0.769088887139766,0.66906364133974,0.572863973030121,0.487641308412522,0.409172849162813,0.334154419043098
Europe,Bulgaria,BG,Residential Multi-Family,RMF,BG.RMF.CO2,kgCO2/sqm,29.1061450206271,27.1989228762589,24.9818347712195,22.8541846198332,20.823408791369,18.9645603841084,17.0661346852804,15.3407945025552,13.7163802735188,12.1909987826927,10.7149110916665,9.469485516117,8.26018249138865,7.13119848438745,6.07871876005653,5.10224202993391,4.18636833136651,3.34556552628531,2.63288649376112,2.06340824466998,1.60816708763446,1.3550343224351,1.16402461225635,0.997081130787692,0.852471508343104,0.718009714292518,0.621392360506011,0.529284731816001,0.448200512894383,0.374116838271137,0.303928041370998
Europe,Bulgaria,BG,Office,OFF,BG.OFF.CO2,kgCO2/sqm,56.7230475344442,52.9174610608644,48.5220296072696,44.3141038282967,40.3073256773613,36.6458619709245,32.920191438193,29.5402644404653,26.3657543045367,23.3921020059967,20.5231470838182,18.1051254400358,15.7645651061573,13.585329593939,11.5593940866882,9.68506321488972,7.93243017203084,6.32824292489111,4.9717960870476,3.89010353495606,3.02720353986052,2.54657862382174,2.18406144884428,1.86790424793708,1.59461625497194,1.34129341947759,1.1592158570547,0.98623032154426,0.834324904557175,0.695959266203331,0.565343311872839
Europe,Bulgaria,BG,Retail High Street,RHS,BG.RHS.CO2,kgCO2/sqm,70.9646047734365,66.2051040593822,60.7079069027289,55.4452158855229,50.4340924744983,45.8548405651659,41.195287646326,36.9681428761787,32.9979050787671,29.278872457512,25.6907808202581,22.6666541002167,19.7394052628244,17.0139191784841,14.4801595174357,12.1360059461973,9.94405517149439,7.93775984717445,6.24130392950878,4.88847263535505,3.80927678175213,3.20817767469991,2.7547913792785,2.35938572132856,2.01759493384015,1.70077380133086,1.47305639315176,1.25671003353048,1.06672776781713,0.893679182765215,0.730322829619972
Europe,Bulgaria,BG,Shopping Center,RSM,BG.RSM.CO2,kgCO2/sqm,70.8190425556446,66.0638130771926,60.5715491741765,55.3135809618584,50.3069545957986,45.7318121645317,41.0764407868898,36.8530895094475,32.8864146532033,29.1707195384415,25.5858478996005,22.5644350687858,19.639813181194,16.9167729822304,14.3852871488631,12.0432372504241,9.85325355982307,7.84875871007658,6.15382521321693,4.80220796682464,3.72398059710874,3.12342092393011,2.67044150305352,2.27539068709754,1.93390662694625,1.6173698136927,1.3898567619702,1.173704554284,0.983892781037377,0.810999491954892,0.647789736848675
Europe,Bulgaria,BG,Retail Warehouse,RWB,BG.RWB.CO2,kgCO2/sqm,55.2517572185824,51.5410445726318,47.2551918683255,43.1521702947365,39.2452817093855,35.6750988289046,32.0423098077034,28.7466448845883,25.6512757508506,22.7517570392253,19.9543255830493,17.5965855726573,15.3143757503789,13.1894688983513,11.2140402597362,9.38643673082837,7.67749708617755,6.11330246183765,4.79067204214022,3.73594624364825,2.89455847169209,2.42591560513639,2.07243603637552,1.76416068074784,1.49768579743549,1.25067833729684,1.07313999514719,0.904467014348698,0.756348621634276,0.621432458890595,0.494072779413611
Europe,Bulgaria,BG,Hotel,HOT,BG.HOT.CO2,kgCO2/sqm,67.1235979410022,62.6176832529148,57.4133765620189,52.431081531939,47.6869505950784,43.3516810619141,38.9403889541256,34.9384663045008,31.1797626333929,27.658879935738,24.2619616911909,21.398960333457,18.6276752082875,16.0474029239819,13.648641886067,11.4293847323521,9.35422101567623,7.45482103369919,5.84875222599201,4.56799973427967,3.54630339673879,2.9772308283778,2.54800093838443,2.17366247959431,1.85008229290597,1.55014137888222,1.33455674597787,1.12973731257528,0.949877295110405,0.786048732413546,0.631395999857794
Europe,Bulgaria,BG,Distribution Warehouse Cold,DWC,BG.DWC.CO2,kgCO2/sqm,40.9297614441736,38.3557591078501,35.3210300103183,32.3934846956221,29.5849477251242,27.0050695585803,24.3497056240639,21.9273766194784,19.6352277704851,17.4718721420808,15.3655675132696,13.5844991429604,11.844133075246,10.2105817859088,8.67931440334418,7.25069358251484,5.90270713316175,4.65805121677503,3.59814065194627,2.74791329293294,2.06554198027202,1.68733709468958,1.40171944137034,1.15106450888062,0.933085215173028,0.72922514609201,0.582820618458863,0.442362638478243,0.318150609954731,0.204027619033089,0.0951940495881614
