Region,Country,Region Code,Property Type,Abbreviation,Code,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Europe,Austria,AT,Leisure/Lodging,LEI,AT.LEI.EUI,kWh/sqm,307.986198822889,287.555724501514,268.480519612964,250.670681436104,234.042271008054,218.516917514225,204.021448921401,190.487547113044,177.851425901415,166.053530398999,155.038256332315,144.753687975246,135.151353466734,126.185996359648,117.81536232411,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Belgium,BE,Residential Single-Family,RSF,BE.RSF.EUI,kWh/sqm,221.983453751944,202.179481695673,184.142295868631,167.714274680011,152.751858549158,139.124295381178,126.712497963357,115.408003297504,105.112024774133,95.7345889057317,87.1937490752717,79.4148694291438,72.3299726566815,65.8771459567041,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Europe,Belgium,BE,Residential Multi-Family,RMF,BE.RMF.EUI,kWh/sqm,221.983453751944,200.926813092855,181.867538040761,164.616164880504,149.001201819161,134.86742422696,122.074331586203,110.494750809063,100.013572040208,90.5266043771323,81.9395401332053,74.1670173474129,67.1317712214291,60.7638660486527,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Europe,Belgium,BE,Office,OFF,BE.OFF.EUI,kWh/sqm,254.537583865583,235.357548758724,217.622776630768,201.224363349551,186.061610978028,172.041409417217,159.077664643878,147.090770031891,136.007117510869,125.758645560186,116.282421262759,107.520253852118,99.4183373796529,91.9269203077668,85.0000000000001,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Europe,Belgium,BE,Retail High Street,RHS,BE.RHS.EUI,kWh/sqm,316.873318689807,293.80876298671,272.423028750757,252.593918027872,234.208127401176,217.160600575952,201.353928088625,186.697790709689,173.108443360176,160.508236592797,148.825172903474,137.992495338041,127.948306043426,118.635212583688,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Belgium,BE,Shopping Center,RSM,BE.RSM.EUI,kWh/sqm,288.302773562037,266.324613289652,246.021912198566,227.266945154673,209.941723882912,193.937254698134,179.152852821317,165.495508967445,152.879304220237,141.224869512691,130.458886312988,120.513625374571,111.326520648648,102.839775678584,94.9999999999999,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Europe,Belgium,BE,Retail Warehouse,RWB,BE.RWB.EUI,kWh/sqm,226.946650155314,209.689389052306,193.744388168049,179.011861860345,165.399612291799,152.82245244519,141.201673013356,130.464549827332,120.543888740175,111.377605118286,102.90833530867,95.0830776506162,87.8528607852371,81.1724371870944,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Europe,Belgium,BE,Hotel,HOT,BE.HOT.EUI,kWh/sqm,285.705451277695,264.095953351316,244.120902365106,225.65667597442,208.589002082531,192.812251629188,178.22878486953,164.748347097569,152.287510074481,140.769155704794,130.121998765026,120.280145731021,111.182686973636,102.773319798941,95.0000000000002,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Europe,Belgium,BE,Distribution Warehouse Cold,DWC,BE.DWC.EUI,kWh/sqm,195.358580688291,180.590712033541,166.939200509538,154.319656603312,142.65407011341,131.870327914435,121.901768175528,112.686768277109,104.168363878483,96.2938967815285,89.0146894136543,82.2857439177733,76.0654639891687,70.3153977397267,64.9999999999999,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Europe,Belgium,BE,Distribution Warehouse Warm,DWW,BE.DWW.EUI,kWh/sqm,74.6161245684444,69.0099611744782,63.8250079168147,59.0296178443294,54.594521749046,50.4926495182008,46.6989649087349,43.1903127357409,39.9452775421622,36.9440528871177,34.168320455041,31.6011382477602,29.2268371770882,27.0309254267626,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
